Designator,Mid X,Mid Y,Layer,Rotation
R102,110.07750300000001mm,74.82449mm,Bottom,180.0
R101,120.650103mm,71.94999mm,Bottom,270.0
D102,139.950003mm,80.94999mm,Top,90.0
Y102,125.59380300000001mm,70.93648999999999mm,Bottom,90.0
R122,139.950003mm,60.74999mm,Bottom,0.0
R123,137.659803mm,58.72588999999999mm,Bottom,270.0
R127,125.75000299999999mm,76.64999mm,Bottom,180.0
R128,129.427803mm,62.893789999999996mm,Bottom,180.0
D106,118.103103mm,75.51489mm,Top,180.0
D105,118.103103mm,73.71489mm,Top,180.0
D107,124.255003mm,79.23948999999999mm,Bottom,180.0
D104,118.103103mm,71.91489mm,Top,180.0
D103,118.103103mm,70.11489mm,Top,180.0
C140,125.75000299999999mm,75.54999mm,Bottom,0.0
C132,123.317503mm,71.92509mm,Bottom,90.0
C136,123.317503mm,69.84989mm,Bottom,270.0
C127,133.950003mm,62.893789999999996mm,Bottom,0.0
C138,109.483903mm,78.92219mm,Bottom,90.0
C130,123.967503mm,64.80349mm,Bottom,0.0
C131,133.950003mm,61.74999mm,Bottom,0.0
C122,123.967503mm,66.95868999999999mm,Bottom,180.0
C114,139.81830300000001mm,76.74999mm,Top,0.0
C103,113.450003mm,82.14999mm,Bottom,90.0
C113,139.81830300000001mm,77.94999mm,Top,180.0
C102,113.650003mm,74.82449mm,Bottom,180.0
U105,129.359403mm,70.79999mm,Top,270.0
R430,110.300003mm,28.613326mm,Top,180.0
C431,117.950003mm,25.163326mm,Top,0.0
C430,114.250003mm,25.163326mm,Top,180.0
U430,115.570003mm,28.413325999999998mm,Top,90.0
D430,110.300003mm,26.193326mm,Top,90.0
C821,148.910011mm,52.86mm,Bottom,180.0
C822,148.910011mm,54.66mm,Bottom,180.0
C823,148.910011mm,56.46mm,Bottom,180.0
C824,148.910011mm,58.26mm,Bottom,180.0
C825,148.910011mm,60.06mm,Bottom,180.0
C826,152.71001099999998mm,52.86mm,Bottom,0.0
C827,152.71001099999998mm,54.66mm,Bottom,0.0
C828,152.71001099999998mm,56.46mm,Bottom,0.0
C829,152.71001099999998mm,58.26mm,Bottom,0.0
C830,152.71001099999998mm,60.06mm,Bottom,0.0
C831,144.410003mm,54.16mm,Bottom,270.0
C832,145.910003mm,54.16mm,Bottom,270.0
C833,155.610011mm,53.635mm,Bottom,270.0
R821,145.910003mm,57.16mm,Bottom,90.0
R822,145.910003mm,60.16mm,Bottom,270.0
U821,150.81001099999997mm,56.46mm,Top,0.0
